Data;Documento;Historico;Classificacao;CentroCusto;Tipo;Valor;SaldoFinal;SinalSaldo
16/01/2024;INT APLICACAO;Transferência da conta [12860-9];IMP004.52;4001;RECEITA;28152.94;96640.24;C
16/01/2024;INT APLICACAO;Transferência da conta [12860-9];IMP004.52;4001;RECEITA;131100.72;227740.96;C
31/01/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;IMP004.50;4001;RECEITA;1506.45;229247.41;C
20/02/2024;INT APLICACAO;Transferência da conta [12860-9];IMP004.52;4001;RECEITA;31755.00;261002.41;C
28/02/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;IMP004.50;4001;RECEITA;2117.55;263119.96;C
06/03/2024;INT APLICACAO;Transferência da conta [12860-9];IMP004.52;4001;RECEITA;8185.00;271304.96;C
06/03/2024;INT RESGATE TRUST DI;Transferência para conta [12860-9];IMP004.52;4001;DESPESA;8185.00;263119.96;C
31/03/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;IMP004.50;4001;RECEITA;2321.14;265441.10;C
17/04/2024;INT APLICACAO;Transferência da conta [12860-9];IMP004.52;4001;RECEITA;539757.27;805198.37;C
17/04/2024;INT APLICACAO;Transferência da conta [12860-9];IMP004.52;4001;RECEITA;132855.60;938053.97;C
19/04/2024;INT RESGATE TRUST DI;Transferência para conta [12860-9];IMP004.52;4001;DESPESA;539757.27;398296.70;C
30/04/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;IMP004.50;4001;RECEITA;3352.83;401649.53;C
02/05/2024;INT APLICACAO;Transferência da conta [12860-9]  050/24;IMP004.52;4001;RECEITA;1300000.00;1701649.53;C
07/05/2024;INT APLICACAO;Transferência da conta [12860-9]  051/24];IMP004.52;4001;RECEITA;597641.28;2299290.81;C
31/05/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;IMP004.50;4001;RECEITA;20256.80;2319547.61;C
28/06/2024;TRUST DI;RENDIMENTO MENSAL APLICAÇÃO TR UST DI;IMP004.50;4001;RECEITA;19061.71;2338609.32;C
02/07/2024;INT RESGATE TRUST DI;Transferência para conta [12860-9];IMP004.52;4001;DESPESA;597641.28;1740968.04;C
31/07/2024;TRUST DI;RENDIMENTO MENSAL APLICACAO TR UST DI;IMP004.50;4001;RECEITA;17537.87;1758505.91;C
30/08/2024;TRUST DI;RENDIMENTO MENSAL APLICACAO TR UST DI;IMP004.50;4001;RECEITA;16456.90;1774962.81;C
19/09/2024;INT RESGATE TRUST DI;Transferência para conta [12860-9];IMP004.52;4001;DESPESA;500000.00;1274962.81;C
20/09/2024;INT RESGATE TRUST DI;Transferência para conta [12860-9];IMP004.52;4001;DESPESA;50000.00;1224962.81;C
30/09/2024;INT RESGATE TRUST DI;Transferência para conta [12860-9];IMP004.52;4001;DESPESA;60000.00;1164962.81;C
30/09/2024;TRUST DI;RENDIMENTO MENSAL APLICACAO TR UST DI;IMP004.50;4001;RECEITA;13613.56;1178576.37;C
31/10/2024;TRUST DI;RENDIMENTO MENSAL APLICACAO TR UST DI;IMP004.50;4001;RECEITA;10925.01;1189501.38;C
29/11/2024;TRUST DI;RENDIMENTO MENSAL APLICACAO TR UST DI;IMP004.50;4001;RECEITA;9617.17;1199118.55;C
09/12/2024;INT RESGATE TRUST DI;Transferência para conta [12860-9];IMP004.52;4001;DESPESA;50000.00;1149118.55;C
12/12/2024;INT RESGATE TRUST DI;Transferência para conta [12860-9];IMP004.52;4001;DESPESA;585257.95;563860.60;C
31/12/2024;TRUST DI;RENDIMENTO MENSAL APLICACAO TR UST DI;IMP004.50;4001;RECEITA;6965.84;570826.44;C
