Data;Documento;Historico;Classificacao;CentroCusto;Tipo;Valor;SaldoFinal;SinalSaldo
04/01/2024;ISS-12/2023- INCT TK;Pagamento do título [ISS-12/2023-INC T TK] de PREFEITURA DA CIDADE DO RIO DE JANEIRO. Obs: PAGAMENTO I SS 12/2023 INCT TK;PROJ001.1.1.07.07;1036;DESPESA;350.00;2650.48;C
04/01/2024;REND PAGO AUTO MAIS;REND PAGO APLIC AUT MAIS;PROJ001.1.3.01.02;1036;RECEITA;0.02;2650.52;C
04/01/2024;REND PAGO AUTO MAIS;REND PAGO APLIC AUT MAIS;PROJ002.1.3.01.02;1036;RECEITA;0.02;2650.50;C
05/01/2024;20240105001;SISPAG FORNECEDORES;PROJ001.1.1.10.01;1036;DESPESA;1741.55;908.97;C
05/01/2024;REND PAGO AUTO MAIS;REND PAGO APLIC AUT MAIS;PROJ001.1.3.01.02;1036;RECEITA;0.12;909.09;C
05/01/2024;REND PAGO AUTO MAIS;REND PAGO APLIC AUT MAIS;PROJ002.1.3.01.02;1036;RECEITA;0.12;909.21;C
10/01/2024;07.01.23340. 6738018-0;Pagamento do título [07.01.23340.673 8018-0] de MINISTERIO DA FAZENDA . Obs: DARF PIS 2ª PARCELA 13º.;PROJ001.1.1.10.04;1036;DESPESA;16.24;892.97;C
10/01/2024;07.01.23345. 7380212-0;Pagamento do título [07.01.23345.738 0212-0] de MINISTERIO DA FAZENDA . Obs: DARF PIS SALÁRIO DEZEMBRO.;PROJ001.1.1.10.04;1036;DESPESA;36.82;856.15;C
25/01/2024;9007 [NF: 000009007];Baixa do título [9007] de Takeshi Kod ama. Obs: Serviços Prestados na Admi nistração do Projeto INCT Física Nucle ar e Aplicações, conforme descrito aba ixo:  - Alimentar, atualizar e desenvolver sis tema de gestão do projeto e armazen amento de documentos fiscais, - Apoio a organização de eventos com o seminários e congressos, com a resp onsabilidade de contratação de hospe dagem e de infraestrutura, da mesma  forma para as  visitas científicas às universidades env olvidas no projeto, - Disponibilizar funcionário (a) para ex clusivo atendimento e apoio nas ativid ades operacionais e demais demandas do INCT de Física Nuclear e Aplicações .  DADOS PARA PAGAMENTO: AG.: 8189 C/C.: 14352-5 FECD/INCT TK   FUNDALÇÃO SEM FINS LUCRATIVOS,I SENTA DE IMPOSTOS FEDERAIS.;PROJ001.1.4.01.01;1036;RECEITA;7000.00;7856.15;C
26/01/2024;REND PAGO AUTO MAIS;REND PAGO APLIC AUT MAIS;PROJ001.1.3.01.02;1036;RECEITA;0.73;7856.88;C
26/01/2024;REND PAGO AUTO MAIS;REND PAGO APLIC AUT MAIS;PROJ002.1.3.01.02;1036;RECEITA;0.76;7857.64;C
26/01/2024;TICKET ALIM.;Pagamento do título [TICKET ALIM. JA QUELINE 02/24] de TICKET SERVICOS SA. Obs: TICKET ALIMENTAÇÃO PARA 02/2024 - JAQUELINE;PROJ001.1.1.10.13;1036;DESPESA;733.45;7124.19;C
31/01/2024;20240131001;SISPAG FORNECEDORES;PROJ001.1.1.10.01;1036;DESPESA;2911.44;4212.75;C
31/01/2024;REND PAGO AUTO MAIS;REND PAGO APLIC AUT MAIS;PROJ001.1.3.01.02;1036;RECEITA;0.34;4213.09;C
05/02/2024;20240205003;REND PAGO APLIC AUT MAIS;PROJ002.1.3.01.02;1036;RECEITA;0.01;4213.10;C
05/02/2024;20240205003;REND PAGO APLIC AUT MAIS;PROJ001.1.3.01.02;1036;RECEITA;0.01;4213.11;C
