Data;Documento;Historico;Classificacao;CentroCusto;Tipo;Valor;SaldoFinal;SinalSaldo
19/02/2024;CAMBIO BB;Transferência da conta [12860-9];IMP004.97;4001;RECEITA;77312.39;77312.39;C
19/02/2024;REF 123/23;REF 123/23 - FECHAMENTO DE CAMB IO;IMP004.01;4001;DESPESA;77312.39;0.00;C
05/03/2024;435 Tarifa Pacote de;435 Tarifa Pacote de Serviços;IMP004.02;4001;DESPESA;71.00;71.00;D
05/03/2024;RESGATE;Transferência da conta [9266-5 A];IMP004.52;4001;RECEITA;71.00;0.00;C
05/04/2024;435 Tarifa Pacote de;435 Tarifa Pacote de Serviços;IMP004.02;4001;DESPESA;71.00;71.00;D
05/04/2024;RESGATE;Transferência da conta [9266-5 A];IMP004.52;4001;RECEITA;71.00;0.00;C
19/04/2024;CAMBIO BB;Transferência da conta [12860-9];IMP004.97;4001;RECEITA;481586.34;481586.34;C
19/04/2024;REF 033/24;REF 033/24 - FECHAMENTO DE CAMB IO;IMP004.01;4001;DESPESA;481586.34;0.00;C
26/04/2024;CAMBIO BB;Transferência da conta [12860-9];IMP004.01;4001;RECEITA;148273.93;148273.93;C
26/04/2024;CAMBIO BB;Transferência da conta [12860-9];IMP004.01;4001;RECEITA;100281.80;248555.73;C
26/04/2024;CAMBIO BB;Transferência da conta [12860-9];IMP004.01;4001;RECEITA;17316.81;265872.54;C
26/04/2024;CAMBIO BB;Transferência da conta [12860-9];IMP004.01;4001;RECEITA;86228.07;352100.61;C
26/04/2024;REF 024/24;REF 024/24 - FECHAMENTO DE CAMB IO;IMP004.01;4001;DESPESA;17316.81;334783.80;C
26/04/2024;REF 027/24;REF 027/24 - FECHAMENTO DE CAMB IO;IMP004.01;4001;DESPESA;100281.80;234502.00;C
26/04/2024;REF 034/24;REF 034/24 - FECHAMENTO DE CAMB IO;IMP004.01;4001;DESPESA;86228.07;148273.93;C
26/04/2024;REF 044/24;REF 044/24 - FECHAMENTO DE CAMB IO;IMP004.01;4001;DESPESA;148273.93;0.00;C
02/05/2024;CAMBIO BB;Transferência da conta [12860-9];IMP004.97;4001;RECEITA;92029.21;92029.21;C
02/05/2024;REF 026/24;REF 026/24 - FECHAMENTO DE CAMB IO;IMP004.01;4001;DESPESA;92029.21;0.00;C
06/05/2024;435 Tarifa Pacote de;435 Tarifa Pacote de Serviços;IMP004.02;4001;DESPESA;71.00;71.00;D
06/05/2024;RESGATE;Transferência da conta [9266-5 A];IMP004.52;4001;RECEITA;71.00;0.00;C
09/05/2024;CAMBIO BB;Transferência da conta [12860-9];IMP004.97;4001;RECEITA;449012.45;449012.45;C
09/05/2024;REF 037/24;REF 037/24 - FECHAMENTO DE CAMB IO;IMP004.01;4001;DESPESA;74742.76;374269.69;C
